respondent Number,chocolate bought,1. buying frequency,5a) značka,5b) chuť,5c) země,5d) cena,5e) odpovědnost,5f) jiné,4. how much pay more,5. FT price,I. gender,II. Income,III. Country,region
60,A Fairtrade,b - once a week,4,1,4,5,2,0,d) 31 - 50 %,100,b) female,d) 10000-15000 CZK,CZ,W
61,A Fairtrade,d - once in a month,3,1,5,2,4,0,c) 11-30 %,60,b) female,b) < 5 000 CZK,CZ,W
62,A Fairtrade,c - once in 2 weeks,3,2,5,1,4,0,c) 11-30 %,60,b) female,b) < 5 000 CZK,CZ,W
63,A Fairtrade,d - once in a month,2,1,4,3,5,"6 složení, tloušťka tabulky",b) 1-10 %,60,a) male,a) no,CZ,W
64,A Fairtrade,e - less frequently,5,2,4,1,3,0,c) 11-30 %,75,a) male,d) 10000-15000 CZK,CZ,W
65,A Fairtrade,d - once in a month,0,1,0,0,0,"Desing, obal, sex- appeal",e) 51 - 80 %,69,a) male,e) 15000-20000,CZ,W
66,A Fairtrade,e - less frequently,2,1,5,3,4,0,b) 1-10 %,60,b) female,c) 5000-10000 CZK,CZ,W
67,A Fairtrade,d - once in a month,1,5,4,3,2,0,c) 11-30 %,60,b) female,b) < 5 000 CZK,CZ,W
68,A Fairtrade,e - less frequently,4,1,5,3,2,0,c) 11-30 %,90,b) female,b) < 5 000 CZK,CZ,W
69,A Fairtrade,e - less frequently,0,1,0,0,0,0,c) 11-30 %,120,b) female,f) >20000,CZ,W
70,A Fairtrade,b - once a week,1,4,3,5,2,0,c) 11-30 %,70,a) male,f) >20000,CZ,W
71,A Fairtrade,e - less frequently,2,1,5,3,4,0,c) 11-30 %,50,a) male,b) < 5 000 CZK,CZ,W
72,A Fairtrade,d - once in a month,5,1,4,3,4,0,d) 31 - 50 %,100,b) female,a) no,CZ,W
73,A Fairtrade,e - less frequently,2,1,5,3,4,0,b) 1-10 %,200,b) female,a) no,CZ,W
74,A Fairtrade,c - once in 2 weeks,2,1,4,3,5,0,c) 11-30 %,90,b) female,f) >20000,Ukraine,E
75,B normal,c - once in 2 weeks,3,2,4,1,5,0,b) 1-10 %,45,b) female,f) >20000,CZ,W
76,A Fairtrade,e - less frequently,3,1,4,2,5,0,c) 11-30 %,70,b) female,f) >20000,CZ,W
77,A Fairtrade,e - less frequently,2,1,4,3,4,0,b) 1-10 %,45,b) female,e) 15000-20000,CZ,W
78,B normal,d - once in a month,3,1,4,2,5,0,b) 1-10 %,50,a) male,c) 5000-10000 CZK,CZ,W
79,B normal,e - less frequently,4,1,3,2,5,0,b) 1-10 %,45,a) male,a) no,CZ,W
80,B normal,d - once in a month,1,1,2,2,2,0,b) 1-10 %,50,b) female,d) 10000-15000 CZK,CZ,W
81,A Fairtrade,d - once in a month,2,1,5,3,4,0,c) 11-30 %,65,b) female,a) no,CZ,W
82,A Fairtrade,c - once in 2 weeks,0,1,0,0,0,0,b) 1-10 %,70,b) female,d) 10000-15000 CZK,CZ,W
